,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ushuaia,0,AR,1567801424,64,-54.81,-68.31,278.15,1.53
1,Macheng,0,CN,1567801425,91,31.18,115.03,292.056,1.85
2,Lebu,75,ET,1567801426,93,8.96,38.73,287.15,2.1
3,Saint-Augustin,75,CA,1567801427,46,45.63,-73.98,296.48,4.6
4,Atuona,66,PF,1567801429,72,-9.8,-139.03,299.256,4.04
5,Nikolskoye,0,RU,1567801430,82,59.7,30.79,286.15,2.0
6,Axim,29,GH,1567801431,92,4.87,-2.24,297.656,3.41
7,Acapulco,100,MX,1567801432,56,16.86,-99.88,303.856,3.1
8,Kapaa,40,US,1567801415,70,22.08,-159.32,302.15,8.2
9,Dali,0,CN,1567801435,55,34.79,109.94,295.056,2.56
10,Ibicui,30,BR,1567801436,75,-14.84,-39.99,294.556,3.29
11,Leningradskiy,14,RU,1567801437,80,69.38,178.42,280.456,0.44
12,Emerald,0,AU,1567801438,34,-23.53,148.16,292.15,4.6
13,Rikitea,16,PF,1567801440,66,-23.12,-134.97,291.356,11.59
14,Narsaq,100,GL,1567801441,28,60.91,-46.05,288.15,5.7
15,Hambantota,84,LK,1567801442,80,6.12,81.12,300.256,6.63
16,Caldwell,1,US,1567801443,50,43.67,-116.69,300.37,4.05
17,Pevek,27,RU,1567801445,74,69.7,170.27,279.056,2.47
18,Barrow,100,AR,1567801446,95,-38.31,-60.23,279.956,2.71
19,Mataura,61,NZ,1567801447,95,-46.19,168.86,277.04,1.71
20,Khani,75,GE,1567801448,94,41.96,42.96,294.15,1.5
21,Shimanovsk,81,RU,1567801449,97,52.0,127.67,288.256,1.89
22,Arraial do Cabo,90,BR,1567801451,60,-22.97,-42.02,294.15,5.1
23,Bluff,0,AU,1567801452,45,-23.58,149.07,289.456,3.47
24,Grindavik,90,IS,1567801453,100,63.84,-22.43,284.15,4.6
25,Saskylakh,100,RU,1567801454,94,71.97,114.09,277.556,5.09
26,East London,0,ZA,1567801221,72,-33.02,27.91,288.15,4.1
27,Mount Gambier,75,AU,1567801457,93,-37.83,140.78,282.15,7.7
28,Kruisfontein,0,ZA,1567801458,84,-34.0,24.73,284.356,2.78
29,Gryazovets,74,RU,1567801459,95,58.88,40.25,286.056,1.69
30,Parrita,40,CR,1567801370,65,9.52,-84.33,300.15,5.7
31,Fort Smith,1,US,1567801283,47,35.39,-94.42,309.26,2.1
32,Chuy,100,UY,1567801463,84,-33.69,-53.46,285.656,6.82
33,Saint George,40,GR,1567801464,60,39.45,22.34,296.15,3.6
34,Puerto Ayora,20,EC,1567801465,54,-0.74,-90.35,300.15,7.7
35,Hermanus,0,ZA,1567801467,67,-34.42,19.24,290.93,4.92
36,Karpathos,0,GR,1567801389,78,35.51,27.21,297.15,8.2
37,Roebourne,0,AU,1567801469,93,-20.77,117.15,285.056,0.39
38,Sambava,67,MG,1567801470,84,-14.27,50.17,292.056,1.88
39,Esperance,0,AU,1567801471,52,-33.86,121.89,278.15,5.7
40,Bengbu,0,CN,1567801473,90,32.92,117.38,292.656,2.19
41,Mandalgovi,44,MN,1567801474,80,45.76,106.27,281.856,7.31
42,Vila Velha,40,BR,1567801184,69,-3.71,-38.6,301.15,7.2
43,Coquimbo,75,CL,1567801476,67,-29.95,-71.34,287.15,4.6
44,Qaanaaq,0,GL,1567801478,66,77.48,-69.36,271.856,1.88
45,Amahai,29,ID,1567801479,88,-3.31,129.0,296.656,4.35
46,Port Alfred,0,ZA,1567801481,77,-33.59,26.89,288.15,0.45
47,Kaitangata,53,NZ,1567801482,83,-46.28,169.85,277.59,1.79
48,Manzhouli,67,CN,1567801483,86,49.6,117.43,288.756,5.1
